blockNumber,timeStamp,hash,nonce,blockHash,from,to,value,gas,gasPrice,isError,txreceipt_status,input,contractAddress,cumulativeGasUsed,gasUsed,confirmations,potential_wallet_address,transaction_amount,total_transactions,address_age,bot_flag
23386350,1641428433,0x469463d90e0e05fc0c1e76522b9b2c0c0337d5f8bebdcd56f5694f3432b3fb0e,14,0xa9a6ab04ecaa651b4964796d1276765301c01222d3efe4b27a2b04244271506f,0x467b1f7d951857b75ad004573434cd32d2726228,0xdf9b4b57865b403e08c85568442f95c26b7896b0,0,52108,630000000000,0,1,0xa9059cbb00000000000000000000000024e0336ffb1ffabd6f9b0348765c3f2d281a100c000000000000000000000000000000000000000000000000186cc6acd4b00000,,11036108,19739,19276149,0x24e0336ffb1ffabd6f9b0348765c3f2d281a100c,1387885898030754511,9.0,170203.0,0
23386523,1641429009,0x9e1588a94469de41c5a1b31279112d40c3c7238a306d7b2bffc9a10470e0bdb2,17,0xfc7fb3de53405bf5db5e2c4ed409ede3bd93d2f3c7f3080c4aa2211a84630b6a,0xdd58efa4d87b3bbeb0fa68c5363204ccdc503dfd,0xdf9b4b57865b403e08c85568442f95c26b7896b0,0,44005,660000000000,0,1,0xa9059cbb00000000000000000000000066b35ede0bdb453b81060f3259bdddee5eb803270000000000000000000000000000000000000000000000000c3663566a580000,,4972688,19739,19275976,0xdf9b4b57865b403e08c85568442f95c26b7896b0,0,7.0,82111.0,0
23386206,1641427849,0x66734244937332a12ab249e2faff10ce66f35f78110f4417f85cfc2b4c07e113,7,0x7a9cdee6b6c6976de9798c30bb1d44e64170678a02378042ce62727e3b8cd803,0x796b0b121fd7a5bcd74cebc46e00e6a74b701c47,0xdf9b4b57865b403e08c85568442f95c26b7896b0,0,52108,650000000000,0,1,0xa9059cbb000000000000000000000000c704312e3ef04d6a7e8e2d36ce917fd72285a76400000000000000000000000000000000000000000000000024aff43190390000,,14868637,19739,19276293,0xdf9b4b57865b403e08c85568442f95c26b7896b0,0,8.0,113792.0,0
23386268,1641428101,0xa17b95fe967fdd2e1d12b1e02ba130b2ba6361248e9cb99c6724459b36aedba7,24,0x4378583fe9b0233be8b83dcf5ae69dd1b820889e2b87099bbb2a686f60795c86,0x9087fba8cea274be3baa4e6edf44f3c11a782dc9,0xdf9b4b57865b403e08c85568442f95c26b7896b0,0,52144,585000000000,0,1,0xa9059cbb00000000000000000000000036e619b7f9d80f91dfa249df0d34d6ca0633a3110000000000000000000000000000000000000000000000000deb230873828803,,20297455,19763,19276231,0x36e619b7f9d80f91dfa249df0d34d6ca0633a311,642923190692829471,16.0,163174.0,0
23386823,1641429888,0x5c0963992e8c9b905f780539e252eae935e8ca0b67ac63965c4db6f61b537805,102,0x68931e5d0acfb830ae382c87aca1a9c7dfc21347d4f80a3495fddb97600b1f9c,0xe42e6d87c4e6b40021fd811365961be3378550e5,0xdf9b4b57865b403e08c85568442f95c26b7896b0,0,100000,620000000000,0,1,0xa9059cbb000000000000000000000000d9c4c14dc2775b6f625df587e4c341e6f14f8d8e0000000000000000000000000000000000000000000000000c3663566a580000,,12562102,19739,19275676,0x6e5fa679211d7f6b54e14e187d34ba547c5d3fe0,0,170.0,4215249.0,1
23386190,1641427785,0x125ae8a9bb351deeb42633278b70e11389c4c8b48db3892e61b776fe13fe9f3c,17,0xff2e6683ae62852c3bbbecf5b59d1f31134d80027ccb0477671a8ba0bed256ef,0x810d29ca8d4160376e59ff0d1fbae71ba4d77958,0xdf9b4b57865b403e08c85568442f95c26b7896b0,0,52108,600000000000,0,1,0xa9059cbb000000000000000000000000b202f597f032321f02a8877f1bc6e5424158d9cd00000000000000000000000000000000000000000000000024a32a033f080000,,19952858,19739,19276309,0x6e5fa679211d7f6b54e14e187d34ba547c5d3fe0,0,8.0,140631.0,0
23386610,1641429259,0x19c40489f087dd1483795b83c828589c4944c650cd954b1584e5d8f1a0ef4837,40,0x99c29da062c5594f9677fec416617cc7b1c7cd13bed58e3aff6c735eed66e6e0,0xfe27039d5f929cb7ca32aa2d0e12d7fe56da3feb,0xdf9b4b57865b403e08c85568442f95c26b7896b0,0,57022,550000000000,1,0,0xa9059cbb0000000000000000000000007a3930be29519cc05917ba0222dd0550c0343df10000000000000000000000000000000000000000000000000c3663566a580000,,15246083,24951,19275889,0x7a3930be29519cc05917ba0222dd0550c0343df1,577728763220546799,15.0,193491.0,0
23386164,1641427699,0xa695f259a585ffd33f233157d809f723627491589e6864d6c4514aed9d14781f,13,0x182b7fe121291412531bbd3c2292f972bfbc14fba1cab9140aca339a462fe461,0x424292060dfc74d5e6843e64d543bc7b80fee45f,0xdf9b4b57865b403e08c85568442f95c26b7896b0,0,52108,600000000000,0,1,0xa9059cbb000000000000000000000000855d22bb79fb50154e5ec032583c185a0160eca30000000000000000000000000000000000000000000000000c3663566a580000,,8584929,19739,19276335,0x855d22bb79fb50154e5ec032583c185a0160eca3,1921741945844102840,24.0,318000.0,0
23386099,1641427541,0x622ba08f789b799ea522df8765b6a646114a9b5d6030cd92c3b8b7fe10300a90,7,0x70d2aa759bc08e5da29bbd9ae30d7ed7efeba32579b4435b0244c54911a0233c,0xce6535a15c474ff5def8242210dc674552e4f60b,0xdf9b4b57865b403e08c85568442f95c26b7896b0,0,52108,600000000000,0,1,0xa9059cbb000000000000000000000000e316e5825dda3f9b18b526861e0b170c25ec4f270000000000000000000000000000000000000000000000000c432d84bb890000,,16890406,19739,19276400,0x1fff663daa2fadc837571531a4f2b02cf36c2a10,532894819460798000,7.0,2233765.0,0
23386649,1641429341,0x395383d4d3f2a0672c4e9e59d0b9825571fc197a145fddeb6ffc07c0d9cd01e6,16,0xc2ed38445cdafe9160c73412949a5779908054bc34675c9fa625a4d5e5a7c35e,0x8b6d4ec9d461e1c72d922058da205e334b413632,0xdf9b4b57865b403e08c85568442f95c26b7896b0,0,52108,570000000000,0,1,0xa9059cbb000000000000000000000000304528c17c1cabc363d95b1005bdc7b305f4d72b000000000000000000000000000000000000000000000000186cc6acd4b00000,,13987096,19739,19275850,0x304528c17c1cabc363d95b1005bdc7b305f4d72b,124000000000000000,7.0,97532.0,0
